iteration,continuity,x_velocity,y_velocity,energy,k,omega,intermittency,retheta
414,0.0019981,4.5449e-07,1.1145e-06,1.1732e-06,0.00062136,0.00025158,6.3625e-05,0.0026384
415,0.0019707,4.4852e-07,1.1062e-06,1.1391e-06,0.00059416,0.00021414,6.411e-05,0.0023998
416,0.0019395,4.4222e-07,1.0923e-06,1.1123e-06,0.00056898,0.00025242,6.4329e-05,0.0021908
417,0.0019195,4.3684e-07,1.0831e-06,1.0892e-06,0.00054684,0.00026179,6.4089e-05,0.0020067
418,0.0018965,4.3198e-07,1.0687e-06,1.0748e-06,0.00052701,0.00025942,6.427e-05,0.0018463
419,0.001875,4.2698e-07,1.0586e-06,1.061e-06,0.00050747,0.00025637,6.35e-05,0.0017088
420,0.0018617,4.2215e-07,1.0469e-06,1.049e-06,0.00049119,0.00025265,6.2089e-05,0.0015873
421,0.001837,4.1679e-07,1.0385e-06,1.0361e-06,0.00047508,0.00025259,6.192e-05,0.0014808
422,0.0018238,4.1196e-07,1.0264e-06,1.0239e-06,0.00046195,0.0002544,5.9007e-05,0.0013888
423,0.0018102,4.0782e-07,1.0174e-06,1.0087e-06,0.00044905,0.00025356,5.9328e-05,0.0013079
424,0.0018007,4.0444e-07,1.0045e-06,9.9165e-07,0.00043716,0.00025231,5.6203e-05,0.0012339
425,0.0017937,4.0117e-07,9.9446e-07,9.7516e-07,0.00042642,0.00025171,5.5676e-05,0.0011669
426,0.0017855,3.9736e-07,9.8149e-07,9.56e-07,0.00041443,0.00025611,5.3863e-05,0.0011081
427,0.0017725,3.9325e-07,9.7108e-07,9.389e-07,0.00040574,0.00025435,5.1654e-05,0.001054
428,0.001765,3.8863e-07,9.585e-07,9.1831e-07,0.00039475,0.00025386,5.0507e-05,0.0010029
429,0.0017498,3.839e-07,9.4534e-07,9.0071e-07,0.00038715,0.00025451,4.7989e-05,0.00095531
430,0.0017337,3.7837e-07,9.3256e-07,8.7996e-07,0.00037647,0.00025085,4.7828e-05,0.00091205
431,0.0017062,3.7236e-07,9.1699e-07,8.6169e-07,0.0003692,0.00024945,4.5941e-05,0.00086993
432,0.0016834,3.6654e-07,9.034e-07,8.3964e-07,0.00035923,0.00024712,4.5176e-05,0.00082938
433,0.0016526,3.5969e-07,8.8743e-07,8.2008e-07,0.00035234,0.0002452,4.4056e-05,0.00078976
434,0.001625,3.5457e-07,8.7599e-07,8.0036e-07,0.00034236,0.0002471,4.2835e-05,0.00075188
435,0.0015951,3.4864e-07,8.5913e-07,7.8333e-07,0.00033416,0.00024718,4.2252e-05,0.0007155
436,0.0015718,3.4368e-07,8.4579e-07,7.6455e-07,0.00032458,0.00024304,4.0903e-05,0.00068121
437,0.0015499,3.3744e-07,8.2798e-07,7.4763e-07,0.00031544,0.00024333,3.9618e-05,0.00064745
438,0.0015268,3.3161e-07,8.1422e-07,7.2952e-07,0.00030526,0.00024111,3.8172e-05,0.00061629
439,0.0015036,3.2468e-07,7.9755e-07,7.1237e-07,0.00029664,0.00023891,3.6338e-05,0.00058638
440,0.0014816,3.1865e-07,7.8407e-07,6.936e-07,0.00028663,0.00023432,3.4133e-05,0.00055957
441,0.0014622,3.1181e-07,7.6906e-07,6.7592e-07,0.00027811,0.00023052,3.2155e-05,0.00053528
442,0.0014297,3.0589e-07,7.5465e-07,6.5749e-07,0.00026799,0.00022758,3.0723e-05,0.00051183
443,0.0014019,2.9878e-07,7.3953e-07,6.4053e-07,0.00025897,0.00022282,2.7675e-05,0.00048847
444,0.0013734,2.921e-07,7.2297e-07,6.2224e-07,0.000249,0.00021552,2.6379e-05,0.0004659
445,0.0013527,2.8397e-07,7.0701e-07,6.063e-07,0.00024,0.00020936,2.4184e-05,0.00044379
446,0.0013232,2.7653e-07,6.908e-07,5.9156e-07,0.00023038,0.00020077,2.2632e-05,0.00042269
447,0.0012962,2.6835e-07,6.7401e-07,5.7771e-07,0.00022122,0.00019546,2.1113e-05,0.00040214
448,0.0012621,2.616e-07,6.5909e-07,5.6266e-07,0.00021227,0.00018898,1.9206e-05,0.00038221
449,0.0012397,2.5331e-07,6.4103e-07,5.4731e-07,0.00020407,0.00018041,1.6668e-05,0.00036327
450,0.0012158,2.4615e-07,6.26e-07,5.3368e-07,0.00019486,0.00017251,1.6981e-05,0.00034513
451,0.0011896,2.3809e-07,6.0799e-07,5.2313e-07,0.00018657,0.0001406,1.4557e-05,0.00032745
452,0.0011622,2.3149e-07,5.93e-07,5.1419e-07,0.0001775,0.00013524,1.2963e-05,0.00030976
453,0.0011344,2.2373e-07,5.7533e-07,4.9807e-07,0.00016953,0.0001653,1.2639e-05,0.00029229
454,0.0011022,2.1819e-07,5.6136e-07,4.8643e-07,0.00016101,0.0001628,1.0308e-05,0.00027617
455,0.0010758,2.1125e-07,5.4476e-07,4.7316e-07,0.00015318,0.00015347,1.0818e-05,0.00026043
456,0.0010556,2.0543e-07,5.2843e-07,4.6084e-07,0.00014503,0.00014268,1.0711e-05,0.00024536
457,0.001038,1.9818e-07,5.12e-07,4.4931e-07,0.00013806,0.00013277,8.2791e-06,0.0002307
458,0.0010189,1.9152e-07,4.9536e-07,4.4041e-07,0.00012981,0.00010486,8.1791e-06,0.00021651
459,0.00098609,1.8504e-07,4.8001e-07,4.254e-07,0.00012277,0.00011922,8.3938e-06,0.00020253
460,0.00095759,1.7809e-07,4.639e-07,4.0788e-07,0.00011609,0.00011464,6.3599e-06,0.00018913
461,0.00092804,1.7135e-07,4.4762e-07,3.9397e-07,0.00010918,0.00010605,6.4603e-06,0.0001758
462,0.00089847,1.6553e-07,4.3043e-07,3.7803e-07,0.00010248,9.8905e-05,6.7233e-06,0.00016264
463,0.00086878,1.5845e-07,4.1298e-07,3.6292e-07,9.6586e-05,9.0637e-05,5.0561e-06,0.00015016
464,0.00083324,1.5275e-07,3.9526e-07,3.4866e-07,9.019e-05,8.3488e-05,5.3322e-06,0.00013833
465,0.00080085,1.4656e-07,3.7865e-07,3.3452e-07,8.4479e-05,7.8386e-05,4.8107e-06,0.00012714
466,0.00076979,1.4005e-07,3.6292e-07,3.2079e-07,7.8954e-05,7.2581e-05,5.6993e-06,0.00011678
467,0.00074095,1.3425e-07,3.4654e-07,3.0807e-07,7.4113e-05,6.7071e-05,4.2466e-06,0.00010704
468,0.00070909,1.2819e-07,3.307e-07,2.9564e-07,6.8784e-05,6.2236e-05,4.6128e-06,9.7967e-05
469,0.00067713,1.2222e-07,3.1533e-07,2.8374e-07,6.4434e-05,5.7497e-05,4.2726e-06,8.982e-05
470,0.00064887,1.1689e-07,3.0002e-07,2.725e-07,5.9818e-05,5.289e-05,2.9928e-06,8.234e-05
471,0.00061982,1.1145e-07,2.8476e-07,2.6116e-07,5.5251e-05,4.8936e-05,3.2211e-06,7.5537e-05
472,0.00059195,1.0569e-07,2.7024e-07,2.495e-07,5.167e-05,4.5016e-05,2.5314e-06,6.9384e-05
473,0.00056691,1.0017e-07,2.573e-07,2.4506e-07,4.7673e-05,3.4488e-05,3.5399e-06,6.378e-05
474,0.00054232,9.5293e-08,2.4411e-07,2.368e-07,4.4471e-05,3.1527e-05,2.8985e-06,5.8674e-05
475,0.00051653,9.0743e-08,2.3146e-07,2.2839e-07,4.1164e-05,3.0018e-05,2.0265e-06,5.4007e-05
476,0.0004919,8.6386e-08,2.1886e-07,2.1965e-07,3.8135e-05,2.8894e-05,1.7677e-06,4.9807e-05
477,0.00046844,8.2026e-08,2.0693e-07,2.11e-07,3.5112e-05,2.7341e-05,1.7817e-06,4.6056e-05
478,0.00044725,7.7843e-08,1.9554e-07,2.0271e-07,3.2493e-05,2.5598e-05,1.7867e-06,4.2699e-05
479,0.00042815,7.3631e-08,1.8471e-07,1.9457e-07,2.9978e-05,2.3711e-05,2.0849e-06,3.9732e-05
480,0.00040716,6.9531e-08,1.7418e-07,1.866e-07,2.7896e-05,2.1949e-05,1.4609e-06,3.7196e-05
481,0.00038949,6.556e-08,1.644e-07,1.7898e-07,2.5666e-05,2.0172e-05,1.1609e-06,3.5016e-05
482,0.00037162,6.2003e-08,1.5499e-07,1.7177e-07,2.3753e-05,1.8496e-05,1.0666e-06,3.3183e-05
483,0.00035495,5.8577e-08,1.4625e-07,1.6299e-07,2.1518e-05,1.6631e-05,1.0412e-06,3.1169e-05
484,0.00034037,5.5311e-08,1.3789e-07,1.5771e-07,2.0337e-05,1.5132e-05,9.4939e-07,3.0239e-05
485,0.00032614,5.2193e-08,1.3042e-07,1.5033e-07,1.8358e-05,1.3841e-05,8.8522e-07,2.89e-05
486,0.00031317,4.9274e-08,1.2292e-07,1.4623e-07,1.7503e-05,1.2509e-05,8.3802e-07,2.8221e-05
487,0.00029905,4.6482e-08,1.1635e-07,1.3949e-07,1.5762e-05,1.1398e-05,7.875e-07,2.6905e-05
488,0.00028652,4.379e-08,1.0971e-07,1.3332e-07,1.4583e-05,1.0012e-05,6.773e-07,2.5797e-05
489,0.00027476,4.1241e-08,1.0379e-07,1.3056e-07,1.3984e-05,9.2305e-06,6.2802e-07,2.5181e-05
490,0.00026257,3.903e-08,9.8346e-08,1.2469e-07,1.2554e-05,8.34e-06,6.0317e-07,2.3843e-05
491,0.00025237,3.6827e-08,9.2841e-08,1.1933e-07,1.1633e-05,7.2582e-06,5.7166e-07,2.269e-05
492,0.00024248,3.4883e-08,8.7866e-08,1.1714e-07,1.1221e-05,6.6389e-06,4.9584e-07,2.1977e-05
493,0.00023227,3.3082e-08,8.3474e-08,1.1174e-07,1.0042e-05,6.0121e-06,4.6956e-07,2.0625e-05
494,0.0002236,3.1357e-08,7.8765e-08,1.068e-07,9.2603e-06,5.1868e-06,4.5374e-07,1.9474e-05
495,0.00021504,2.9726e-08,7.4598e-08,1.0482e-07,8.9434e-06,4.794e-06,4.4284e-07,1.8757e-05
496,0.00020647,2.8355e-08,7.0941e-08,9.99e-08,8.0063e-06,4.3954e-06,3.5883e-07,1.7451e-05
497,0.0001993,2.6867e-08,6.7036e-08,9.5503e-08,7.3236e-06,3.7892e-06,3.2523e-07,1.6334e-05
498,0.00019209,2.556e-08,6.3535e-08,9.3722e-08,7.0068e-06,3.6144e-06,3.2951e-07,1.5616e-05
499,0.00018456,2.4347e-08,6.0499e-08,9.1191e-08,6.5268e-06,3.4609e-06,3.405e-07,1.4714e-05
500,0.00017821,2.3257e-08,5.7484e-08,8.6145e-08,5.799e-06,3.081e-06,3.0221e-07,1.3487e-05
501,0.00017255,2.2066e-08,5.4363e-08,8.4042e-08,5.4737e-06,2.7981e-06,2.9652e-07,1.2785e-05
502,0.00016628,2.1067e-08,5.183e-08,8.1625e-08,5.0526e-06,2.8137e-06,2.8825e-07,1.2006e-05
503,0.0001606,2.0068e-08,4.93e-08,7.8909e-08,4.66e-06,2.6081e-06,2.9386e-07,1.1227e-05
504,0.00015528,1.9193e-08,4.6901e-08,7.6097e-08,4.2778e-06,2.5081e-06,2.5011e-07,1.0486e-05
505,0.00015006,1.8293e-08,4.4643e-08,7.3374e-08,3.9171e-06,2.3295e-06,2.535e-07,9.8382e-06
506,0.00014507,1.7485e-08,4.2526e-08,7.0733e-08,3.6029e-06,2.2549e-06,2.591e-07,9.2974e-06
507,0.0001402,1.6679e-08,4.0492e-08,6.8243e-08,3.3395e-06,2.0989e-06,2.6973e-07,8.8327e-06
508,0.0001358,1.5947e-08,3.8649e-08,6.5879e-08,3.0821e-06,2.0512e-06,2.0991e-07,8.4313e-06
509,0.00013154,1.5193e-08,3.6932e-08,6.3592e-08,2.8103e-06,1.92e-06,2.0822e-07,8.0862e-06
510,0.00012749,1.4536e-08,3.5292e-08,6.1391e-08,2.614e-06,1.8622e-06,2.3051e-07,7.7893e-06
511,0.0001236,1.3888e-08,3.3756e-08,5.9316e-08,2.4586e-06,1.7342e-06,2.4766e-07,7.5296e-06
512,0.00012012,1.3317e-08,3.2293e-08,5.7355e-08,2.3097e-06,1.6991e-06,1.8882e-07,7.2553e-06
513,0.00011658,1.2753e-08,3.0925e-08,5.5394e-08,2.1223e-06,1.6003e-06,1.8739e-07,6.9831e-06
514,0.00011311,1.2237e-08,2.9606e-08,5.3548e-08,2.0097e-06,1.5519e-06,2.1104e-07,6.7061e-06
515,0.00010978,1.1748e-08,2.8406e-08,5.1846e-08,1.9198e-06,1.4613e-06,2.3014e-07,6.4405e-06
516,0.00010694,1.1306e-08,2.7262e-08,5.0205e-08,1.8321e-06,1.43e-06,1.7691e-07,6.174e-06
517,0.0001041,1.0867e-08,2.6211e-08,4.8616e-08,1.6919e-06,1.3638e-06,1.8056e-07,5.9142e-06
518,0.00010128,1.045e-08,2.5197e-08,4.7111e-08,1.6253e-06,1.3173e-06,2.056e-07,5.6587e-06
519,9.8603e-05,1.0065e-08,2.4288e-08,4.5704e-08,1.5719e-06,1.2634e-06,2.2442e-07,5.4192e-06
520,9.6261e-05,9.7251e-09,2.3425e-08,4.4454e-08,1.5189e-06,1.2196e-06,1.582e-07,5.1844e-06
521,9.3922e-05,9.3883e-09,2.2631e-08,4.3223e-08,1.3955e-06,1.1789e-06,1.533e-07,4.969e-06
522,9.1568e-05,9.0565e-09,2.186e-08,4.203e-08,1.3482e-06,1.1284e-06,1.7926e-07,4.7612e-06
523,8.9376e-05,8.7632e-09,2.1161e-08,4.0947e-08,1.3083e-06,1.1013e-06,2.0378e-07,4.5789e-06
524,8.7576e-05,8.4982e-09,2.052e-08,3.9993e-08,1.2743e-06,1.0415e-06,1.7523e-07,4.4129e-06
525,8.571e-05,8.2332e-09,1.9937e-08,3.9032e-08,1.1975e-06,1.0262e-06,1.8748e-07,4.2686e-06
526,8.3823e-05,7.9825e-09,1.9365e-08,3.8183e-08,1.1658e-06,9.7482e-07,1.9444e-07,4.1382e-06
527,8.206e-05,7.7455e-09,1.8857e-08,3.7393e-08,1.1363e-06,9.7362e-07,2.1099e-07,4.0229e-06
528,8.051e-05,7.5389e-09,1.8393e-08,3.6716e-08,1.1084e-06,9.224e-07,1.6394e-07,3.922e-06
529,7.8993e-05,7.3271e-09,1.7972e-08,3.6019e-08,1.0418e-06,9.3546e-07,1.7433e-07,3.8302e-06
530,7.7399e-05,7.1243e-09,1.7591e-08,3.5342e-08,1.0253e-06,9.0204e-07,2.0061e-07,3.7477e-06
531,7.5907e-05,6.9423e-09,1.7247e-08,3.477e-08,1.0488e-06,9.3786e-07,2.2024e-07,3.6782e-06
532,7.4679e-05,6.7948e-09,1.6967e-08,3.428e-08,1.0439e-06,8.9343e-07,1.4288e-07,3.6146e-06
533,7.3502e-05,6.6374e-09,1.6721e-08,3.3736e-08,9.8516e-07,9.1704e-07,1.2603e-07,3.553e-06
534,7.2113e-05,6.4824e-09,1.6475e-08,3.3226e-08,9.8214e-07,8.9104e-07,1.4721e-07,3.4919e-06
535,7.0885e-05,6.3539e-09,1.6268e-08,3.2752e-08,1.0098e-06,9.4134e-07,1.7431e-07,3.4256e-06
536,6.9921e-05,6.2497e-09,1.6115e-08,3.2258e-08,1.0233e-06,8.8391e-07,1.763e-07,3.3561e-06
537,6.893e-05,6.1436e-09,1.597e-08,3.1753e-08,1.0447e-06,9.2309e-07,1.9159e-07,3.284e-06
538,6.7937e-05,6.0563e-09,1.5842e-08,3.1279e-08,1.054e-06,8.77e-07,1.572e-07,3.2102e-06
539,6.7086e-05,5.9595e-09,1.5709e-08,3.0853e-08,1.0527e-06,9.0996e-07,1.691e-07,3.1351e-06
540,6.6128e-05,5.8822e-09,1.5596e-08,3.0389e-08,1.061e-06,8.7393e-07,1.8073e-07,3.064e-06
541,6.5289e-05,5.8171e-09,1.5479e-08,2.9958e-08,1.1038e-06,9.1535e-07,1.9943e-07,2.9933e-06
542,6.4565e-05,5.808e-09,1.5378e-08,2.9512e-08,1.1075e-06,8.6452e-07,1.4802e-07,2.9275e-06
543,6.3827e-05,5.8022e-09,1.5261e-08,2.906e-08,1.0927e-06,8.9187e-07,1.553e-07,2.8612e-06
544,6.291e-05,5.7924e-09,1.5141e-08,2.8601e-08,1.0935e-06,8.5704e-07,1.8356e-07,2.797e-06
545,6.211e-05,5.7866e-09,1.4998e-08,2.8217e-08,1.1481e-06,9.0105e-07,2.0568e-07,2.7329e-06
546,6.1519e-05,5.7943e-09,1.4887e-08,2.7811e-08,1.1438e-06,8.4106e-07,1.4181e-07,2.6729e-06
547,6.0901e-05,5.7745e-09,1.477e-08,2.7381e-08,1.1125e-06,8.6285e-07,1.3669e-07,2.6113e-06
548,6.005e-05,5.735e-09,1.4617e-08,2.6923e-08,1.102e-06,8.2584e-07,1.6292e-07,2.5528e-06
549,5.9329e-05,5.7015e-09,1.4443e-08,2.5759e-08,1.1306e-06,8.1816e-07,1.8774e-07,2.4347e-06
550,5.8841e-05,5.6517e-09,1.4189e-08,2.5086e-08,1.1184e-06,6.6814e-07,1.5757e-07,2.3632e-06
551,5.8222e-05,5.6073e-09,1.399e-08,2.4637e-08,1.1108e-06,6.917e-07,1.6934e-07,2.3105e-06
552,5.7395e-05,5.5454e-09,1.3794e-08,2.4219e-08,1.0988e-06,6.6596e-07,1.7675e-07,2.2685e-06
553,5.6623e-05,5.4794e-09,1.3582e-08,2.3863e-08,1.1277e-06,7.0639e-07,1.9381e-07,2.2242e-06
554,5.5919e-05,5.4149e-09,1.3394e-08,2.3483e-08,1.1073e-06,6.7199e-07,1.4637e-07,2.1829e-06
555,5.5186e-05,5.3375e-09,1.318e-08,2.3072e-08,1.083e-06,6.9712e-07,1.5724e-07,2.1382e-06
556,5.4279e-05,5.2467e-09,1.2948e-08,2.261e-08,1.0629e-06,6.7167e-07,1.8519e-07,2.0994e-06
